STATION_ID,ANTENNA_ID,X,Y,Z
12,4,3826478.9251,461091.81063100003,5064960.228
12,5,3826482.8791,461093.00963100005,5064957.152
12,6,3826468.2431,461083.22163000004,5064969.022
12,7,3826472.1971,461084.41963,5064965.946
12,8,3826476.1501,461085.61863000004,5064962.871
12,9,3826480.1031,461086.81563100003,5064959.795
12,10,3826484.0561,461088.014631,5064956.72
12,11,3826488.0091,461089.21263100003,5064953.644
12,12,3826469.4211,461078.22663000005,5064968.59
12,13,3826473.3741,461079.42463,5064965.514
12,14,3826477.3271,461080.62363000005,5064962.439
12,16,3826485.2331000003,461083.019631,5064956.288
12,17,3826489.1871,461084.21763100004,5064953.212
12,18,3826474.5511000003,461074.42963,5064965.082
12,19,3826478.5051,461075.628631,5064962.006
12,20,3826482.4581,461076.82663100003,5064958.931
12,21,3826486.4111,461078.024631,5064955.855
12,22,3826479.6821,461070.633631,5064961.574
12,23,3826483.6361000002,461071.83163100004,5064958.498
13,24,3826527.5291,461169.548635,5064916.7190000005
13,25,3826528.0621,461174.598635,5064915.863
13,26,3826531.0871,461163.560635,5064914.589
13,27,3826531.6191000002,461168.61063500005,5064913.734
13,28,3826532.1511,461173.661635,5064912.877
13,29,3826532.6841,461178.711635,5064912.021
13,30,3826534.6451,461157.57363500004,5064912.46
13,31,3826535.1771,461162.623635,5064911.604
13,32,3826535.7101000003,461167.674635,5064910.748
13,33,3826536.2421,461172.72463500005,5064909.892
13,34,3826536.7741,461177.775635,5064909.036
13,35,3826537.3071,461182.825635,5064908.18
13,36,3826538.7351,461156.635636,5064909.474
13,37,3826539.2681,461161.685636,5064908.618
13,38,3826539.8001,461166.73663600005,5064907.762
13,39,3826540.3321,461171.78663600003,5064906.906
13,40,3826540.8651,461176.837636,5064906.05
13,41,3826541.3971,461181.887636,5064905.194
13,42,3826543.3581000003,461160.749636,5064905.633
13,43,3826543.8911,461165.799636,5064904.777
13,44,3826544.4231000002,461170.85063600005,5064903.92
13,45,3826544.9551,461175.90063600003,5064903.065
13,46,3826547.9801000003,461164.86263600003,5064901.791
14,0,3826627.1311,461225.34164299996,5064837.039
14,1,3826627.0891,461230.47364299995,5064836.607
14,2,3826631.2981,461219.98464299995,5064834.396
14,3,3826631.2561,461225.116643,5064833.963
14,4,3826631.2141,461230.24864299997,5064833.531
14,5,3826631.1711,461235.37964299996,5064833.100000001
14,6,3826635.4641,461214.628644,5064831.752
14,7,3826635.4221,461219.76064399997,5064831.32
14,8,3826635.3800999997,461224.89164399996,5064830.888
14,9,3826635.3370999997,461230.02264399995,5064830.456
14,10,3826635.2950999998,461235.154644,5064830.024
14,11,3826635.25309,461240.286644,5064829.592
14,12,3826639.5891,461214.40364399995,5064828.676
14,13,3826639.5471,461219.535644,5064828.244
14,14,3826639.5050999997,461224.666644,5064827.812
14,15,3826639.4620999997,461229.79864399997,5064827.38
14,16,3826639.4200999998,461234.92964399996,5064826.948
14,17,3826639.3781,461240.06164399994,5064826.516
14,18,3826643.6721,461219.30964399996,5064825.1680000005
14,19,3826643.6291,461224.44164399995,5064824.737
14,20,3826643.5870999997,461229.573644,5064824.305
14,21,3826643.5450999998,461234.705644,5064823.872
14,22,3826647.7541,461224.216645,5064821.661
14,23,3826647.7120999997,461229.34864499996,5064821.229
15,24,3826638.67109,461352.237644,5064816.908
15,25,3826638.62909,461357.368644,5064816.475000001
15,26,3826642.83709,461346.88064399996,5064814.264
15,27,3826642.7950899997,461352.01164399995,5064813.832
15,28,3826642.75309,461357.143644,5064813.4
15,29,3826642.7100899997,461362.275644,5064812.968
15,30,3826647.00409,461341.524645,5064811.621
15,31,3826646.96209,461346.655645,5064811.188
15,32,3826646.9200899997,461351.786645,5064810.756
15,33,3826646.87709,461356.91864499997,5064810.325
15,34,3826646.8350899997,461362.05064499995,5064809.892
15,35,3826646.7930799997,461367.182645,5064809.46
15,36,3826651.12909,461341.298645,5064808.545
15,37,3826651.08709,461346.43064499996,5064808.113
15,38,3826651.0450899997,461351.562645,5064807.68
15,39,3826651.00209,461356.694645,5064807.249
15,40,3826650.9600899997,461361.825645,5064806.817
15,41,3826650.91809,461366.95664499997,5064806.384000001
15,42,3826655.21209,461346.205645,5064805.0370000005
15,43,3826655.16909,461351.33764499996,5064804.605
15,44,3826655.12709,461356.46964499995,5064804.173
15,45,3826655.08409,461361.600645,5064803.741
15,46,3826659.29309,461351.11164599995,5064801.53
15,47,3826659.25109,461356.243646,5064801.097
16,0,3826310.24611,460864.042617,5065107.671
16,1,3826313.18311,460867.44561700005,5065105.159
16,2,3826310.2041100003,460856.791617,5065108.358
16,3,3826313.14111,460860.194617,5065105.845000001
16,4,3826316.08011,460863.597617,5065103.332
16,5,3826319.01711,460866.999617,5065100.82
16,6,3826310.16211,460849.540617,5065109.045
16,7,3826313.10011,460852.944617,5065106.532000001
16,8,3826316.03711,460856.346617,5065104.0200000005
16,9,3826318.97511,460859.749617,5065101.507
16,10,3826321.91211,460863.152618,5065098.994
16,11,3826324.85011,460866.55561800004,5065096.481000001
16,12,3826313.05711,460845.692617,5065107.2190000005
16,13,3826315.99511,460849.095617,5065104.706
16,14,3826318.93311,460852.498617,5065102.194
16,15,3826321.87111,460855.901618,5065099.681000001
16,16,3826324.80811,460859.304618,5065097.169000001
16,17,3826327.74611,460862.70861800003,5065094.656
16,18,3826318.89111,460845.248617,5065102.881
16,19,3826321.82811,460848.651618,5065100.368000001
16,20,3826324.76611,460852.054618,5065097.855
16,21,3826327.70311,460855.45761800004,5065095.343
16,22,3826324.7241100003,460844.803618,5065098.542
16,23,3826327.66211,460848.205618,5065096.03
17,24,3826393.39512,460782.18462400005,5065052.657000001
17,25,3826396.33212,460785.58762400004,5065050.1450000005
17,26,3826393.35312,460774.933624,5065053.3440000005
17,27,3826396.29012,460778.33662400005,5065050.831
17,28,3826399.22812,460781.73962400004,5065048.318
17,29,3826402.16612,460785.14262400003,5065045.806000001
17,30,3826393.31012,460767.682624,5065054.031
17,31,3826396.24812,460771.08662400005,5065051.518
17,32,3826399.18612,460774.48962400004,5065049.006
17,33,3826402.1241200003,460777.89262400003,5065046.493000001
17,34,3826405.06112,460781.295625,5065043.98
17,36,3826396.20612,460763.835624,5065052.205
17,37,3826399.1441200003,460767.23862400005,5065049.692000001
17,38,3826402.08112,460770.64162400004,5065047.180000001
17,39,3826405.0191200003,460774.04362500005,5065044.667
17,40,3826407.95712,460777.44662500004,5065042.155
17,41,3826410.89512,460780.850625,5065039.642
17,42,3826402.03912,460763.39162400004,5065047.867000001
17,43,3826404.97712,460766.79362500005,5065045.354
17,44,3826407.91512,460770.19662500004,5065042.841
17,45,3826410.85212,460773.59962500003,5065040.329
17,46,3826407.87312,460762.945625,5065043.528
17,47,3826410.81012,460766.34862500004,5065041.016000001
18,2,3826396.66706,461505.10362300003,5064984.6219999995
18,3,3826398.69206,461509.434624,5064982.711
18,4,3826400.71806,461513.76662400004,5064980.799
18,5,3826402.74406,461518.097624,5064978.886
18,6,3826398.2340599997,461498.01162400004,5064984.087
18,7,3826400.26006,461502.342624,5064982.175
18,8,3826402.28606,461506.673624,5064980.263
18,10,3826406.33706,461515.33762400004,5064976.439
18,11,3826408.36306,461519.66962400003,5064974.527
18,12,3826401.8270599996,461495.25062400004,5064981.64
18,13,3826403.8530599996,461499.581624,5064979.728
18,14,3826405.8790599997,461503.91362400004,5064977.8149999995
18,15,3826407.9040599996,461508.24562400003,5064975.904
18,16,3826409.9300599997,461512.576625,5064973.992
18,17,3826411.9560599998,461516.90862500004,5064972.079
18,18,3826407.44606,461496.82162400003,5064977.28
18,19,3826409.4720599996,461501.152625,5064975.368
18,20,3826411.4980599997,461505.484625,5064973.456
18,21,3826413.5230599996,461509.815625,5064971.544
18,22,3826413.06506,461498.391625,5064972.921
18,23,3826415.0910599995,461502.723625,5064971.008
19,24,3826489.78706,461557.23363100004,5064910.013
19,25,3826491.8130599996,461561.56563100003,5064908.101
19,26,3826491.35506,461550.14163100003,5064909.478
19,27,3826493.38006,461554.472632,5064907.566
19,28,3826495.40606,461558.804632,5064905.654
19,29,3826497.4320599996,461563.135632,5064903.741
19,30,3826492.92206,461543.048632,5064908.942
19,31,3826494.94806,461547.380632,5064907.03
19,32,3826496.97406,461551.711632,5064905.118
19,33,3826498.99906,461556.043632,5064903.206
19,34,3826501.02506,461560.37563200004,5064901.294
19,36,3826496.5150599997,461540.287632,5064906.495
19,37,3826498.5410599997,461544.619632,5064904.583
19,38,3826500.56706,461548.95163200004,5064902.671
19,39,3826502.5920599997,461553.28363200004,5064900.759
19,40,3826504.61806,461557.614633,5064898.847
19,41,3826506.64406,461561.946633,5064896.934
19,42,3826502.1340599996,461541.85963200004,5064902.135
19,43,3826504.1600599997,461546.190632,5064900.223
19,44,3826506.1850599996,461550.522633,5064898.311
19,45,3826508.2110599997,461554.853633,5064896.399
19,46,3826507.75206,461543.429633,5064897.776
19,47,3826509.77806,461547.761633,5064895.864
20,0,3826456.47915,460543.299629,5065026.9629999995
20,1,3826460.03015,460545.670629,5065024.083
20,2,3826455.02815,460536.372629,5065028.678
20,3,3826458.57815,460538.742629,5065025.799
20,4,3826462.12915,460541.11363,5065022.919
20,6,3826453.57615,460529.443629,5065030.395
20,7,3826457.12615,460531.815629,5065027.515
20,8,3826460.67715,460534.186629,5065024.635
20,9,3826464.22815,460536.55763,5065021.756
20,10,3826467.77915,460538.92763,5065018.876
20,11,3826471.33015,460541.29963,5065015.996
20,13,3826459.22515,460527.258629,5065026.351
20,15,3826466.3271500003,460532.00063,5065020.592
20,16,3826469.8781500002,460534.37163,5065017.7129999995
20,17,3826473.42815,460536.74263,5065014.833
20,18,3826461.3241500002,460522.702629,5065025.188
20,19,3826464.87515,460525.07263,5065022.308
20,20,3826468.42615,460527.44363,5065019.429
20,21,3826471.97615,460529.81463,5065016.549
20,22,3826466.97415,460520.51663,5065021.144
20,23,3826470.52515,460522.88763,5065018.265
21,24,3826361.79014,460498.262621,5065102.107989999
21,25,3826365.34114,460500.633621,5065099.22899
21,26,3826360.33915,460491.335621,5065103.8239899995
21,27,3826363.89015,460493.70562100003,5065100.94399
21,28,3826367.44115,460496.076622,5065098.06499
21,29,3826370.99215,460498.447622,5065095.18499
21,30,3826358.88715,460484.40662100003,5065105.5399899995
21,31,3826362.43815,460486.778621,5065102.65999
21,33,3826369.53915,460491.520622,5065096.90099
21,34,3826373.09015,460493.890622,5065094.02099
21,35,3826376.64115,460496.262622,5065091.14199
21,36,3826360.9861500002,460479.850621,5065104.37699
21,37,3826364.53615,460482.22162100003,5065101.49699
21,39,3826371.63815,460486.963622,5065095.73799
21,40,3826375.18915,460489.334622,5065092.857989999
21,41,3826378.74015,460491.705623,5065089.97799
21,42,3826366.63515,460477.665621,5065100.33299
21,43,3826370.18615,460480.035622,5065097.45399
21,44,3826373.73715,460482.406622,5065094.5739899995
21,45,3826377.28815,460484.777622,5065091.69399
21,46,3826372.28615,460475.479622,5065096.2899899995
21,47,3826375.83715,460477.850622,5065093.40999
22,0,3827207.67711,461404.628692,5064386.61701
22,1,3827208.4931099997,461409.60069199995,5064385.555009999
22,2,3827210.90411,461398.368692,5064384.76101
22,3,3827211.7201099996,461403.341692,5064383.69901
22,4,3827212.53711,461408.314692,5064382.63601
22,5,3827213.35211,461413.286692,5064381.57401
22,7,3827214.94711,461397.082693,5064381.84201
22,8,3827215.76411,461402.054693,5064380.78001
22,9,3827216.57911,461407.026693,5064379.71801
22,10,3827217.39511,461412.000693,5064378.65601
22,11,3827218.2121099997,461416.972693,5064377.59401
22,12,3827218.17411,461390.82269299997,5064379.98601
22,13,3827218.99111,461395.794693,5064378.92301
22,14,3827219.80611,461400.767693,5064377.86101
22,15,3827220.62211,461405.74069299997,5064376.800009999
22,16,3827221.4391099997,461410.712693,5064375.737009999
22,17,3827222.25511,461415.685693,5064374.675009999
22,18,3827223.03411,461394.50769299996,5064376.0050099995
22,19,3827223.84911,461399.48069299996,5064374.94301
22,20,3827224.6661099996,461404.45369299996,5064373.88101
22,21,3827225.4821099997,461409.42569299997,5064372.81901
22,22,3827227.89311,461398.19369399996,5064372.02401
22,23,3827228.7091099997,461403.16669399996,5064370.96201
23,24,3827112.98811,461359.591684,5064461.762999999
23,25,3827113.80411,461364.563684,5064460.700999999
23,26,3827116.2151099998,461353.331684,5064459.9059999995
23,28,3827117.8481099997,461363.277684,5064457.782
23,29,3827118.66411,461368.249684,5064456.72
23,30,3827119.44311,461347.071685,5064458.05
23,32,3827121.0751099996,461357.01768499997,5064455.925
23,33,3827121.8911099997,461361.989685,5064454.863
23,34,3827122.70711,461366.96368499997,5064453.802
23,35,3827123.52311,461371.935685,5064452.739
23,36,3827123.48511,461345.78568499995,5064455.131
23,37,3827124.30211,461350.75768499996,5064454.069
23,39,3827125.93411,461360.70368499996,5064451.944999999
23,40,3827126.7511099996,461365.67568499997,5064450.882999999
23,41,3827127.56611,461370.64868499996,5064449.8209999995
23,42,3827128.3451099996,461349.47068499995,5064451.149999999
23,43,3827129.1611099998,461354.44368499995,5064450.089
23,44,3827129.97711,461359.416685,5064449.026
23,45,3827130.79311,461364.38868499995,5064447.964
23,46,3827133.20511,461353.156686,5064447.17
23,47,3827134.02011,461358.129686,5064446.108
24,0,3826409.13004,461813.008624,5064947.379000001
24,1,3826411.8580400003,461816.670625,5064945.0
24,2,3826409.49504,461805.74362400005,5064947.762
24,3,3826412.22304,461809.40762500005,5064945.383
24,4,3826414.95104,461813.069625,5064943.004000001
24,5,3826417.68004,461816.732625,5064940.625
24,6,3826409.85904,461798.480624,5064948.1450000005
24,7,3826412.5880400003,461802.14262500004,5064945.766
24,8,3826415.31604,461805.80562500004,5064943.387
24,9,3826418.04404,461809.469625,5064941.008
24,10,3826420.77404,461813.13162500004,5064938.6280000005
